757,86,1031,74,1035,156,760,167
151,80,332,80,332,168,151,168
415,83,491,83,491,159,415,159
567,97,706,90,709,153,570,160
878,249,1051,236,1057,312,884,325
1115,246,1219,246,1219,310,1115,310
526,278,820,261,823,326,529,343
168,270,270,270,270,346,168,346
327,272,465,272,465,344,327,344
1081,425,1260,407,1268,490,1089,507
847,436,1027,436,1027,512,847,512
657,453,785,453,785,522,657,522
370,478,617,455,624,525,376,548
159,460,310,460,310,536,159,536
1182,574,1338,559,1345,622,1188,638
924,589,1123,579,1127,656,928,666
428,614,576,611,578,688,429,691
651,622,837,616,839,678,653,685
174,644,349,630,354,691,179,705
187,795,398,795,398,856,187,856
